Number, Steps
897, 1 
2692, 2 
1346, 3 
673, 4 
2020, 5 
1010, 6 
505, 7 
1516, 8 
758, 9 
379, 10 
1138, 11 
569, 12 
1708, 13 
854, 14 
427, 15 
1282, 16 
641, 17 
1924, 18 
962, 19 
481, 20 
1444, 21 
722, 22 
361, 23 
1084, 24 
542, 25 
271, 26 
814, 27 
407, 28 
1222, 29 
611, 30 
1834, 31 
917, 32 
2752, 33 
1376, 34 
688, 35 
344, 36 
172, 37 
86, 38 
43, 39 
130, 40 
65, 41 
196, 42 
98, 43 
49, 44 
148, 45 
74, 46 
37, 47 
112, 48 
56, 49 
28, 50 
14, 51 
7, 52 
22, 53 
11, 54 
34, 55 
17, 56 
52, 57 
26, 58 
13, 59 
40, 60 
20, 61 
10, 62 
5, 63 
16, 64 
8, 65 
4, 66 
2, 67 
1, 68 
